高管姓名,性别,年龄,股票代码,职位
陈文才,男,52,002141,董事长,董事
袁金钰,男,62,002138,董事长,董事
张平,男,72,002160,董事长,董事
卢胜,男,49,002159,董事长,董事
潘晖,男,49,002178,董事长,董事
谭骅,男,46,002177,董事长,董事
朱军,男,54,002176,董事长,董事
彭敏,女,40,002175,董事长,董事
林奇,男,37,002174,董事长,董事
陈海军,男,46,002173,董事长,董事
张敏,男,57,002196,董事长,董事
陈于冰,男,41,002195,董事长,董事
连松育,男,46,002213,董事长,董事
郑汉武,男,46,002212,董事长,董事
何百祥,男,48,002211,董事长,董事
黄壮勉,男,48,002210,董事长,董事
张颂明,男,52,002209,董事长,董事
王晓毅,男,55,002208,董事长,董事
尤友岳,男,46,002229,董事长,董事
许晓光,男,51,002228,董事长,董事
王萍,女,42,002250,董事长,董事
鲁楚平,男,53,002249,董事长,董事
连小明,男,46,002248,董事长,董事
余海峰,男,46,002247,董事长,董事
张世安,男,55,002246,董事长,董事
沈学如,男,64,002245,董事长,董事
罗永忠,男,49,002272,董事长,董事
李卫国,男,53,002271,董事长,董事
张泽民,男,55,002291,董事长,董事
艾萍,女,39,002290,董事长,董事
张旸,男,39,002289,董事长,董事
梁健锋,男,53,002288,董事长,董事
雷菊芳,女,65,002287,董事长,董事
邓淑芬,女,54,002286,董事长,董事
补建,男,54,002312,董事长,董事
薛华,男,48,002311,董事长,董事
刘年新,男,62,002325,董事长,董事
周文,男,53,002324,董事长,董事
唐继勇,男,50,002323,董事长,董事
周方洁,男,54,002322,董事长,董事
曹家富,男,66,002321,董事长,董事
林健,男,52,002320,董事长,董事
陆仁军,男,68,002346,董事长,董事
任有法,男,63,002344,名誉董事长
朱国锭,男,53,002364,董事长,董事
张海燕,女,49,002363,董事长,董事
刘迎建,男,65,002362,董事长,董事
刘志坚,男,62,002361,董事长,董事
张云升,男,66,002360,董事长,董事
郝晓晖,男,43,002359,董事长,董事
程涛,男,39,002387,董事长,董事
罗云,男,53,002386,董事长,董事
谷晓嘉,女,47,002411,董事长,董事
刁志中,男,55,002410,董事长,董事
沈琦,男,43,002409,董事长,董事
车成聚,男,68,002408,董事长,董事
李世江,男,68,002407,董事长,董事
刘延生,男,62,002406,董事长,董事
郁霞秋,女,55,002435,董事长,董事
黄河清,男,56,002434,董事长,董事
吴建新,男,53,002438,董事长,董事
朱吉满,男,54,002437,董事长,董事
邱醒亚,男,49,002436,董事长,董事
柯树泉,男,70,002433,董事长,董事
刘毅,男,51,002432,董事长,董事
吴桂昌,男,63,002431,董事长,董事
陈焕雄,男,42,002454,董事长,董事
王广宇,男,41,002453,董事长,董事
曹坚,男,54,002478,董事长,董事
侯建芳,男,52,002477,董事长,董事
杜斌,男,46,002476,董事长,董事
王来春,女,51,002475,董事长,董事
鲁峰,男,51,002474,董事长,董事
符永利,男,46,002473,董事长,董事
何宁,男,55,002504,董事长,董事
马鸿,男,51,002503,董事长,董事
肖建平,男,57,002523,董事长,董事
陈健,男,38,002522,董事长,董事
李学峰,男,69,002521,董事长,董事
吴捷,男,51,002520,董事长,董事
吴建明,男,58,002519,董事长,董事
刘程宇,男,56,002518,董事长,董事
牟嘉云,女,71,002539,董事长,董事
金国清,男,71,002538,董事长,董事
刘贵华,男,49,002556,董事长,董事
吴卫东,男,47,002555,董事长,董事
黄松,男,55,002554,董事长,董事
史建伟,男,60,002553,董事长,董事
朱宝松,男,63,002552,董事长,董事
梁桂秋,男,55,002551,董事长,董事
曾浩,男,47,002577,董事长,董事
魏少军,男,55,002576,董事长,董事
杨迎春,男,54,002597,董事长,董事
张恭运,男,53,002595,董事长,董事
王传福,男,52,002594,董事长,执行董事
吴子文,男,53,002593,董事长,董事
顾瑜,女,64,002592,董事长,董事
朱星河,男,56,002591,董事长,董事
邹剑寒,男,49,002614,董事长,董事
高学明,男,60,002613,董事长,董事
胡智彪,男,48,002632,董事长,董事
汝继勇,男,45,002631,董事长,董事
黎仁超,男,54,002630,董事长,董事
陈昊旻,男,47,002629,董事长,董事
周维刚,男,55,002628,董事长,董事
